url,name,description,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/practice-st-paddys-day-party-at-joy-district-tickets-1980116148704,"Practice St. Paddy's Day Party at Joy District Tickets, Saturday, Mar 7 from 3 pm to 10 pm","Eventbrite - Joy District presents Practice St. Paddy's Day Party at Joy District - Saturday, March 7, 2026 at Joy District, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Event Planning & Services', 'Venues & Event Spaces']","[0.916, 0.846, 0.765]","Categories: Arts & Entertainment, Event Planning & Services, Venues & Event Spaces"
https://www.eventbrite.com/e/speedchicago-dating-ages-3244-chicagos-speed-dating-tickets-1983232289164,"⚡ SpeedChicago Dating | Ages 32–44 | Chicago’s Speed Dating Tickets, Sunday, Mar 8 from 5 pm to 7 pm","Eventbrite - SpeedChicago Dating presents ⚡ SpeedChicago Dating | Ages 32–44 | Chicago’s Speed Dating - Sunday, March 8, 2026 at Tabu, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Nightlife', 'Arts & Entertainment']","[0.873, 0.801, 0.786]","Categories: Event Planning & Services, Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/sr-batterson-and-ngozzi-tickets-1980497495322,S.R. Batterson and Ngozzi,"This is an intimate, seated dinner show featuring S.R. Batterson and Ngozzi!",2026-02-28T19:00:00-06:00,2026-02-28T21:00:00-06:00,UncommonGround - Lakeview,Chicago,IL,"['Arts & Entertainment', 'Performing Arts', 'Active Life']","[0.952, 0.829, 0.372]","Categories: Arts & Entertainment, Performing Arts, Active Life"
https://www.eventbrite.com/e/sustainable-end-of-life-options-tickets-1981086023626,"Sustainable End of Life Options Tickets, Wednesday, Mar 4 from 6:30 pm to 8:30 pm","Eventbrite - Chicago Environmentalists presents Sustainable End of Life Options - Wednesday, March 4, 2026 at Bartleby’s Homemade Ice Cream, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Venues & Event Spaces', 'Nightlife']","[0.805, 0.7, 0.503]","Categories: Event Planning & Services, Venues & Event Spaces, Nightlife"
https://www.eventbrite.com/e/writing-with-impact-practical-strategies-for-legal-marketers-tickets-1981003930082,"Writing with Impact: Practical Strategies for Legal Marketers Tickets, Thursday, Feb 26 from 11:45 am to 1:15 pm","Eventbrite - Legal & Professional Services Council presents Writing with Impact: Practical Strategies for Legal Marketers - Thursday, February 26, 2026 at Chapman and Cutler LLP, Chicago, IL. Find event and ticket information.",,,,,,"['Active Life', 'Bars', 'Arcades']","[0.461, 0.387, 0.315]","Categories: Active Life, Bars, Arcades"
https://www.eventbrite.com/e/chicago-tech-startups-investors-innovators-networking-with-elevator-pitch-tickets-1979308288372,"Chicago Tech Startups, Investors, Innovators Networking with Elevator Pitch Tickets, Monday, Feb 23 from 7 pm to 10 pm","Eventbrite - Business Founders Group presents Chicago Tech Startups, Investors, Innovators Networking with Elevator Pitch - Monday, February 23, 2026 at Ludlow Liquors, Chicago, IL. Find event and ticket information.",,,,,,"['Venues & Event Spaces', 'Nightlife', 'Event Planning & Services']","[0.713, 0.677, 0.671]","Categories: Venues & Event Spaces, Nightlife, Event Planning & Services"
https://www.eventbrite.com/e/kids-quran-competition-tickets-1982090037659,"Kids' Qur'an Competition Tickets, Saturday, Feb 28 from 4 pm to 5:30 pm","Eventbrite - Downtown Islamic Center presents Kids' Qur'an Competition - Saturday, February 28, 2026 at Downtown Islamic Center, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Venues & Event Spaces', 'Kids Activities']","[0.821, 0.776, 0.682]","Categories: Event Planning & Services, Venues & Event Spaces, Kids Activities"
https://www.eventbrite.com/e/chicagos-holi-in-the-dark-lore-nightclub-tickets-1983599345038,"CHICAGO'S HOLI IN THE DARK @LORE NIGHTCLUB Tickets, Saturday, Mar 7 at 10 pm to Sunday, Mar 8 at 3 am","Eventbrite - TAMASHA NIGHTS BY DJ BROWNY presents CHICAGO'S HOLI IN THE DARK @LORE NIGHTCLUB - Saturday, March 7, 2026 at Lore Chicago, Chicago, IL. Find event and ticket information.",,,,,,"['Nightlife', 'Arts & Entertainment', 'Music Venues']","[0.977, 0.956, 0.897]","Categories: Nightlife, Arts & Entertainment, Music Venues"
https://www.eventbrite.com/e/music-and-business-networking-elevating-your-potential-lincoln-park-tickets-1852750810549,"Music and Business Networking | Elevating Your Potential - Lincoln Park Tickets, Wednesday, Mar 4 from 6 pm to 8 pm","Eventbrite - Strive Networking presents Music and Business Networking | Elevating Your Potential - Lincoln Park - Wednesday, March 4, 2026 at Parlay Lincoln Park, Chicago, IL. Find event and ticket information.",,,,,,"['Venues & Event Spaces', 'Nightlife', 'Music Venues']","[0.846, 0.741, 0.734]","Categories: Venues & Event Spaces, Nightlife, Music Venues"
https://www.eventbrite.com/e/full-moon-mini-cloche-workshop-tickets-1210115801939,"Full Moon Mini Cloche Workshop Tickets, Multiple dates","Eventbrite - Nina Salem presents Full Moon Mini Cloche Workshop - Sunday, March 16, 2025 at The Insect Asylum, chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Performing Arts', 'Event Planning & Services']","[0.962, 0.924, 0.891]","Categories: Arts & Entertainment, Performing Arts, Event Planning & Services"
