url,name,description,classifier_input,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/st-patricks-day-buffet-ft-parting-glass-whisky-tasting-tickets-1977400723795,St. Patrick's Day Buffet ft. Parting Glass + Whisky Tasting,St. Patrick's Day Buffet at Colvin House! Enjoy traditional Irish favorites & live Celtic tunes from the amazing Parting Glass. Sláinte!,St. Patrick's Day Buffet ft. Parting Glass + Whisky Tasting. St. Patrick's Day Buffet at Colvin House! Enjoy traditional Irish favorites & live Celtic tunes from the amazing Parting Glass. Sláinte!,2026-03-17T18:30:00-05:00,2026-03-17T20:30:00-05:00,Colvin House,Chicago,IL,"['Arts & Entertainment', 'Music Venues', 'Performing Arts']","[0.977, 0.845, 0.787]","Categories: Arts & Entertainment, Music Venues, Performing Arts"
https://www.eventbrite.com/e/st-patricks-day-brunch-at-the-pony-march-14th-tickets-1983557180924,"ST. PATRICK'S DAY BRUNCH AT THE PONY MARCH 14th Tickets, Saturday, Mar 14 from 8 am to 12 pm",,"ST. PATRICK'S DAY BRUNCH AT THE PONY MARCH 14th Tickets, Saturday, Mar 14 from 8 am to 12 pm",,,,,,"['Event Planning & Services', 'Specialty Food', 'Venues & Event Spaces']","[0.454, 0.334, 0.313]","Categories: Event Planning & Services, Specialty Food, Venues & Event Spaces"
https://www.eventbrite.com/e/saturday-march-14-ryan-oflanagan-tickets-1908375314939,SATURDAY MARCH 14: RYAN O'FLANAGAN,Catch Ryan O’Flanagan live at Comedy Bar Chicago for 2 nights of hilarious stand-up comedy and deep dish pizza!,SATURDAY MARCH 14: RYAN O'FLANAGAN. Catch Ryan O’Flanagan live at Comedy Bar Chicago for 2 nights of hilarious stand-up comedy and deep dish pizza!,2026-03-14T19:00:00-05:00,2026-03-14T20:30:00-05:00,The Comedy Bar - Chicago Main Stage,Chicago,IL,"['Bars', 'Comedy Clubs', 'Arts & Entertainment']","[0.879, 0.874, 0.834]","Categories: Bars, Comedy Clubs, Arts & Entertainment"
https://www.eventbrite.com/e/st-patricks-day-at-roof-tickets-1980640560233,"St. Patrick's Day at ROOF Tickets, Saturday, Mar 14 from 12 pm to 6 pm",,"St. Patrick's Day at ROOF Tickets, Saturday, Mar 14 from 12 pm to 6 pm",,,,,,"['Music Venues', 'Venues & Event Spaces', 'Event Planning & Services']","[0.764, 0.758, 0.603]","Categories: Music Venues, Venues & Event Spaces, Event Planning & Services"
https://www.eventbrite.com/e/lucked-up-day-party-joy-district-rooftop-4-pm-tickets-1980141113374,"Lucked Up Day Party | Joy District Rooftop | 4 PM Tickets, Saturday, Mar 14 from 4 pm to 8 pm",,"Lucked Up Day Party | Joy District Rooftop | 4 PM Tickets, Saturday, Mar 14 from 4 pm to 8 pm",,,,,,"['Arts & Entertainment', 'Venues & Event Spaces', 'Event Planning & Services']","[0.865, 0.815, 0.623]","Categories: Arts & Entertainment, Venues & Event Spaces, Event Planning & Services"
https://www.eventbrite.com/e/immersive-sound-bath-journey-at-lasalle-hotel-tickets-1983160433241,"Immersive Sound Bath Journey at LaSalle Hotel Tickets, Monday, Mar 23 from 7 pm to 8 pm",,"Immersive Sound Bath Journey at LaSalle Hotel Tickets, Monday, Mar 23 from 7 pm to 8 pm",,,,,,"['Hotels & Travel', 'Arts & Entertainment']","[0.907, 0.739]","Categories: Hotels & Travel, Arts & Entertainment"
https://www.eventbrite.com/e/the-leprechauns-attic-party-3rd-floor-hubbard-inn-12pm-tickets-1980229241969,"The Leprechauns Attic Party | 3rd Floor Hubbard Inn | 12pm Tickets, Saturday, Mar 14 from 12 pm to 3 pm",,"The Leprechauns Attic Party | 3rd Floor Hubbard Inn | 12pm Tickets, Saturday, Mar 14 from 12 pm to 3 pm",,,,,,"['Arts & Entertainment', 'Venues & Event Spaces', 'Event Planning & Services']","[0.973, 0.752, 0.581]","Categories: Arts & Entertainment, Venues & Event Spaces, Event Planning & Services"
https://www.eventbrite.com/e/st-patricks-day-pub-crawl-pilsens-1-holiday-party-tickets-1982887522959,"ST. PATRICK’S DAY PUB CRAWL: PILSEN'S #1 HOLIDAY PARTY Tickets, Saturday, Mar 14 from 12 pm to 6 pm",,"ST. PATRICK’S DAY PUB CRAWL: PILSEN'S #1 HOLIDAY PARTY Tickets, Saturday, Mar 14 from 12 pm to 6 pm",,,,,,"['Arts & Entertainment', 'Nightlife', 'Bars']","[0.764, 0.636, 0.514]","Categories: Arts & Entertainment, Nightlife, Bars"
https://www.eventbrite.com/e/singles-party-low-horse-for-the-30ish-45-crowd-tickets-1982086822041,"Singles Party @ Low Horse for the 30ish - 45 Crowd Tickets, Thursday, Mar 12 from 5:30 pm to 8 pm",,"Singles Party @ Low Horse for the 30ish - 45 Crowd Tickets, Thursday, Mar 12 from 5:30 pm to 8 pm",,,,,,"['Nightlife', 'Venues & Event Spaces']","[0.953, 0.487]","Categories: Nightlife, Venues & Event Spaces"
https://www.eventbrite.com/e/stolen-saddles-st-patricks-day-party-on-march-17th20-all-inclusive-pkg-tickets-1982313603350,"Stolen Saddle's St. Patrick's Day Party on March 17th:$20 All-Inclusive Pkg Tickets, Tuesday, Mar 17 from 6 pm to 9 pm",,"Stolen Saddle's St. Patrick's Day Party on March 17th:$20 All-Inclusive Pkg Tickets, Tuesday, Mar 17 from 6 pm to 9 pm",,,,,,"['Arts & Entertainment', 'Venues & Event Spaces', 'Event Planning & Services']","[0.684, 0.492, 0.387]","Categories: Arts & Entertainment, Venues & Event Spaces, Event Planning & Services"
https://www.eventbrite.com/e/st-patricks-west-loop-river-north-golden-ticket-weekend-bar-crawl-pass-tickets-1979781893939,"ST. PATRICKS WEST LOOP & RIVER NORTH GOLDEN TICKET WEEKEND BAR CRAWL PASS Tickets, Saturday, Mar 14 at 8 am to Sunday, Mar 15 at 5 am",,"ST. PATRICKS WEST LOOP & RIVER NORTH GOLDEN TICKET WEEKEND BAR CRAWL PASS Tickets, Saturday, Mar 14 at 8 am to Sunday, Mar 15 at 5 am",,,,,,"['Bars', 'Nightlife', 'Arts & Entertainment']","[0.959, 0.551, 0.483]","Categories: Bars, Nightlife, Arts & Entertainment"
